{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 43524, 'username': 'SAHIL\\sahil', 'name': 'ShellHost.exe'} 

{'pid': 43712, 'username': None, 'name': 'svchost.exe'} 

{'pid': 43820, 'username': 'SAHIL\\sahil', 'name': 'OpenConsole.exe'} 

{'pid': 43992, 'username': 'SAHIL\\sahil', 'name': 'msedgewebview2.exe'} 

{'pid': 44568, 'username': 'SAHIL\\sahil', 'name': 'RuntimeBroker.exe'} 

{'pid': 44596, 'username': 'SAHIL\\sahil', 'name': 'RuntimeBroker.exe'} 

{'pid': 44620, 'username': None, 'name': 'SearchProtocolHost.exe'} 

{'pid': 44624, 'username': 'SAHIL\\sahil', 'name': 'backgroundTaskHost.exe'} 

