{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'Code.exe', 'username': 'SAHIL\\sahil', 'pid': 43144} 

{'name': 'msedgewebview2.exe', 'username': 'SAHIL\\sahil', 'pid': 43424} 

{'name': 'ShellHost.exe', 'username': 'SAHIL\\sahil', 'pid': 43436} 

{'name': 'AsusScreenXpertUI.exe', 'username': None, 'pid': 43464} 

{'name': 'msedgewebview2.exe', 'username': 'SAHIL\\sahil', 'pid': 43468} 

{'name': 'svchost.exe', 'username': None, 'pid': 43512} 

{'name': 'dllhost.exe', 'username': 'SAHIL\\sahil', 'pid': 43628} 

{'name': 'conhost.exe', 'username': 'SAHIL\\sahil', 'pid': 43792} 

{'name': 'backgroundTaskHost.exe', 'username': 'SAHIL\\sahil', 'pid': 43852} 

{'name': 'AsusSystemAnalysis.exe', 'username': 'SAHIL\\sahil', 'pid': 43904} 

{'name': 'conhost.exe', 'username': 'SAHIL\\sahil', 'pid': 43912} 

{'name': 'servicehost.exe', 'username': None, 'pid': 43988} 

{'name': 'conhost.exe', 'username': 'SAHIL\\sahil', 'pid': 44036} 

{'name': 'LockApp.exe', 'username': 'SAHIL\\sahil', 'pid': 44096} 

{'name': 'dwm.exe', 'username': None, 'pid': 44196} 

{'name': 'msedgewebview2.exe', 'username': 'SAHIL\\sahil', 'pid': 44420} 

{'name': 'csrss.exe', 'username': None, 'pid': 44496} 

{'name': 'conhost.exe', 'username': 'SAHIL\\sahil', 'pid': 44548} 

{'name': 'RuntimeBroker.exe', 'username': 'SAHIL\\sahil', 'pid': 44556} 

{'name': 'chrome.exe', 'username': 'SAHIL\\sahil', 'pid': 44988} 

{'name': 'Code.exe', 'username': 'SAHIL\\sahil', 'pid': 45036} 

{'name': 'AsusProArtHost.exe', 'username': 'SAHIL\\sahil', 'pid': 45076} 

{'name': 'cmd.exe', 'username': 'SAHIL\\sahil', 'pid': 45104} 

{'name': 'svchost.exe', 'username': 'SAHIL\\sahil', 'pid': 45208} 

{'name': 'OneDrive.exe', 'username': 'SAHIL\\sahil', 'pid': 45268} 

{'name': 'UserOOBEBroker.exe', 'username': 'SAHIL\\sahil', 'pid': 45548} 

{'name': 'WindowsTerminal.exe', 'username': 'SAHIL\\sahil', 'pid': 45808} 

{'name': 'svchost.exe', 'username': 'SAHIL\\sahil', 'pid': 45884} 

